post_date,job_title,description,location,salary_min_lpa,salary_max_lpa
2025-01-06,QA Engineer II,We need manual testing agile selenium. Team collaborates on modern stack. B2B domain.,Bangalore,,
2025-01-07,Full Stack Developer,We need javascript react node sql full stack. Team collaborates on modern stack. B2B domain.,Hyderabad,,
2025-01-08,QA Engineer,We need manual testing agile selenium. Team collaborates on modern stack. healthcare domain.,Remote,8,18
2025-01-09,Senior Software Engineer (Remote),We need python react aws kubernetes agile. Team collaborates on modern stack. B2B domain.,Hyderabad,10,14
2025-01-10,Full Stack Developer II,We need javascript react node sql full stack. Team collaborates on modern stack. healthcare domain.,Remote,15,21
2025-01-11,Business Analyst II,We need excel power bi communication sql. Team collaborates on modern stack. fintech domain.,Bangalore,10,20
2025-01-12,Product Manager,We need product management agile communication excel. Team collaborates on modern stack. B2B domain.,Hyderabad,12,16
2025-01-13,ML Engineer,We need machine learning pytorch python cloud computing. Team collaborates on modern stack. B2B domain.,Pune,12,20
2025-01-14,Cloud Architect,We need aws azure terraform kubernetes. Team collaborates on modern stack. fintech domain.,Remote,8,18
2025-01-13,Frontend Engineer (Remote),We need javascript react typescript css. Team collaborates on modern stack. fintech domain.,Remote,12,18
2025-01-14,Data Scientist,We need machine learning python sql deep learning. Team collaborates on modern stack. B2B domain.,Hyderabad,12,16
2025-01-15,Java Developer (Remote),We need java spring boot sql. Team collaborates on modern stack. B2B domain.,Mumbai,12,22
2025-01-16,Java Developer,We need java spring boot sql. Team collaborates on modern stack. fintech domain.,Hyderabad,12,20
2025-01-17,QA Engineer (Remote),We need manual testing agile selenium. Team collaborates on modern stack. fintech domain.,Bangalore,18,24
2025-01-18,Cloud Architect II,We need aws azure terraform kubernetes. Team collaborates on modern stack. B2B domain.,Hyderabad,15,25
2025-01-19,HR Specialist,We need communication excel. Team collaborates on modern stack. healthcare domain.,Remote,10,18
2025-01-20,Full Stack Developer,We need javascript react node sql full stack. Team collaborates on modern stack. B2B domain.,Pune,15,23
2025-01-21,Full Stack Developer II,We need javascript react node sql full stack. Team collaborates on modern stack. healthcare domain.,Pune,10,20
2025-01-20,HR Specialist,We need communication excel. Team collaborates on modern stack. healthcare domain.,Mumbai,10,18
2025-01-21,Full Stack Developer (Remote),We need javascript react node sql full stack. Team collaborates on modern stack. healthcare domain.,Remote,18,26
2025-01-22,Business Analyst,We need excel power bi communication sql. Team collaborates on modern stack. fintech domain.,Remote,15,23
2025-01-23,DevOps Engineer,We need kubernetes terraform aws jenkins devops. Team collaborates on modern stack. healthcare domain.,Mumbai,8,12
2025-01-24,DevOps Engineer II,We need kubernetes terraform aws jenkins devops. Team collaborates on modern stack. healthcare domain.,Hyderabad,,
2025-01-25,Business Analyst (Remote),We need excel power bi communication sql. Team collaborates on modern stack. B2B domain.,Mumbai,15,25
2025-01-26,Product Manager (Remote),We need product management agile communication excel. Team collaborates on modern stack. healthcare domain.,Bangalore,,
2025-01-27,Data Scientist,We need machine learning python sql deep learning. Team collaborates on modern stack. healthcare domain.,Remote,12,20
2025-01-28,Product Manager (Remote),We need product management agile communication excel. Team collaborates on modern stack. fintech domain.,Hyderabad,15,19
2025-01-27,HR Specialist (Remote),We need communication excel. Team collaborates on modern stack. healthcare domain.,Pune,18,24
2025-01-28,HR Specialist (Remote),We need communication excel. Team collaborates on modern stack. B2B domain.,Pune,,
